vy:0,vw:0,vy_off:0,vw_off:-0.103627,pf:0,preal:0,dy:-3,dy2:-3
vy:0.0069071,vw:0.102927,vy_off:0.0069071,vw_off:-0.000700084,pf:130.634,preal:130.576,dy:0.000749335,dy2:0.000742636
vy:0.00707816,vw:0.116033,vy_off:0.00707816,vw_off:0.0124062,pf:131.207,preal:130.909,dy:0.000303479,dy2:0.000790559
vy:0.00167427,vw:0.15094,vy_off:0.00167427,vw_off:0.0473128,pf:131.207,preal:131.341,dy:0.000924673,dy2:0.00105667
vy:0.0106421,vw:0.116033,vy_off:0.0106421,vw_off:0.0124062,pf:131.78,preal:131.673,dy:0.000847634,dy2:0.00092861
vy:0.00721872,vw:0.12259,vy_off:0.00721872,vw_off:0.0189633,pf:131.78,preal:132.025,dy:0.000752658,dy2:0.00120718
vy:0.00703128,vw:0.0876837,vy_off:0.00703128,vw_off:-0.0159433,pf:132.353,preal:132.276,dy:0.000845556,dy2:0.000836604
vy:0.00819951,vw:0.12259,vy_off:0.00819951,vw_off:0.0189633,pf:132.926,preal:132.627,dy:0.000339262,dy2:0.000826952
vy:0.00179181,vw:0.157497,vy_off:0.00179181,vw_off:0.0538698,pf:132.926,preal:133.078,dy:0.000984973,dy2:0.00113515
vy:0.0113338,vw:0.12259,vy_off:0.0113338,vw_off:0.0189633,pf:133.499,preal:133.429,dy:0.0010165,dy2:0.00106934
vy:0.00905472,vw:0.112984,vy_off:0.00905472,vw_off:0.00935743,pf:133.499,preal:133.753,dy:0.000808711,dy2:0.0012812
vy:0.00719327,vw:0.0780778,vy_off:0.00719327,vw_off:-0.0255492,pf:134.072,preal:133.977,dy:0.000866341,dy2:0.000855266
vy:0.00840409,vw:0.112984,vy_off:0.00840409,vw_off:0.00935743,pf:134.645,preal:134.3,dy:0.000154499,dy2:0.000716082
vy:-0.000484806,vw:0.147891,vy_off:-0.000484806,vw_off:0.044264,pf:134.645,preal:134.724,dy:0.000868975,dy2:0.000947066
vy:0.0105744,vw:0.112984,vy_off:0.0105744,vw_off:0.00935743,pf:135.218,preal:135.048,dy:0.000527044,dy2:0.000655857
vy:0.00338622,vw:0.13673,vy_off:0.00338622,vw_off:0.0331032,pf:135.218,preal:135.439,dy:0.000653986,dy2:0.00106615
vy:0.0069134,vw:0.101824,vy_off:0.0069134,vw_off:-0.00180337,pf:135.791,preal:135.731,dy:0.000754036,dy2:0.000747063
vy:0.00713288,vw:0.116681,vy_off:0.00713288,vw_off:0.0130538,pf:136.364,preal:136.065,dy:0.000305758,dy2:0.000792024
vy:0.0016864,vw:0.151587,vy_off:0.0016864,vw_off:0.0479604,pf:136.364,preal:136.5,dy:0.000928737,dy2:0.001063
vy:0.0106876,vw:0.116681,vy_off:0.0106876,vw_off:0.0130538,pf:136.937,preal:136.834,dy:0.000864309,dy2:0.000942149
vy:0.00740639,vw:0.121583,vy_off:0.00740639,vw_off:0.0179562,pf:136.937,preal:137.182,dy:0.000757256,dy2:0.0012141
vy:0.00703425,vw:0.0866766,vy_off:0.00703425,vw_off:-0.0169504,pf:137.51,preal:137.431,dy:0.000847039,dy2:0.00083776
vy:0.0082165,vw:0.121583,vy_off:0.0082165,vw_off:0.0179562,pf:138.083,preal:137.779,dy:0.00031916,dy2:0.000814086
vy:0.00154558,vw:0.15649,vy_off:0.00154558,vw_off:0.0528628,pf:138.083,preal:138.227,dy:0.000971828,dy2:0.0011147
vy:0.0112444,vw:0.121583,vy_off:0.0112444,vw_off:0.0179562,pf:138.656,preal:138.575,dy:0.00096443,dy2:0.00102509
vy:0.00845406,vw:0.115463,vy_off:0.00845406,vw_off:0.0118358,pf:138.656,preal:138.906,dy:0.000791567,dy2:0.00125812
vy:0.00715462,vw:0.0805562,vy_off:0.00715462,vw_off:-0.0230708,pf:139.229,preal:139.137,dy:0.000853801,dy2:0.000843025
vy:0.00826421,vw:0.115463,vy_off:0.00826421,vw_off:0.0118358,pf:139.802,preal:139.468,dy:0.000194852,dy2:0.000738327
vy:3.89256e-05,vw:0.150369,vy_off:3.89256e-05,vw_off:0.0467424,pf:139.802,preal:139.899,dy:0.000894083,dy2:0.000990033
vy:0.0107301,vw:0.115463,vy_off:0.0107301,vw_off:0.0118358,pf:140.375,preal:140.229,dy:0.000646022,dy2:0.000755701
vy:0.00477216,vw:0.130794,vy_off:0.00477216,vw_off:0.0271673,pf:140.375,preal:140.604,dy:0.000690255,dy2:0.00111767
vy:0.00696308,vw:0.0958877,vy_off:0.00696308,vw_off:-0.00773928,pf:140.948,preal:140.879,dy:0.00077984,dy2:0.000771718
vy:0.00742904,vw:0.12022,vy_off:0.00742904,vw_off:0.0165926,pf:141.521,preal:141.223,dy:0.000320064,dy2:0.000804025
vy:0.00177578,vw:0.155126,vy_off:0.00177578,vw_off:0.0514992,pf:141.521,preal:141.668,dy:0.000954429,dy2:0.00110007
vy:0.0109713,vw:0.12022,vy_off:0.0109713,vw_off:0.0165926,pf:142.094,preal:142.012,dy:0.000958741,dy2:0.00102027
vy:0.0084618,vw:0.116106,vy_off:0.0084618,vw_off:0.0124789,pf:142.094,preal:142.345,dy:0.000786561,dy2:0.00125445
vy:0.00709233,vw:0.0811993,vy_off:0.00709233,vw_off:-0.0224277,pf:142.666,preal:142.577,dy:0.000858851,dy2:0.000848274
vy:0.00834223,vw:0.116106,vy_off:0.00834223,vw_off:0.0124789,pf:143.239,preal:142.91,dy:0.000214098,dy2:0.000750301
vy:0.000248415,vw:0.151013,vy_off:0.000248415,vw_off:0.0473855,pf:143.239,preal:143.342,dy:0.000905434,dy2:0.00100754
vy:0.0108081,vw:0.116106,vy_off:0.0108081,vw_off:0.0124789,pf:143.812,preal:143.675,dy:0.000686038,dy2:0.000789577
vy:0.00523116,vw:0.128947,vy_off:0.00523116,vw_off:0.02532,pf:143.812,preal:144.044,dy:0.000702966,dy2:0.00113557
vy:0.00698792,vw:0.0940404,vy_off:0.00698792,vw_off:-0.00958656,pf:144.385,preal:144.314,dy:0.000789437,dy2:0.000780935
vy:0.00753741,vw:0.121285,vy_off:0.00753741,vw_off:0.0176582,pf:144.958,preal:144.661,dy:0.000325394,dy2:0.000808374
vy:0.00180963,vw:0.156192,vy_off:0.00180963,vw_off:0.0525648,pf:144.958,preal:145.109,dy:0.000962596,dy2:0.00111183
vy:0.01106,vw:0.121285,vy_off:0.01106,vw_off:0.0176582,pf:145.531,preal:145.456,dy:0.0009876,dy2:0.00104413
vy:0.00878379,vw:0.11444,vy_off:0.00878379,vw_off:0.010813,pf:145.531,preal:145.784,dy:0.000795397,dy2:0.00126681
